# data/sample_minute_ohlc.csv
timestamp,open,high,low,close,volume
2025-11-10 00:00:00,65000,65100,64900,65050,12
2025-11-10 00:01:00,65050,65080,65000,65020,8
2025-11-10 00:02:00,65020,65120,65010,65100,10
2025-11-10 00:03:00,65100,65200,65090,65150,11
2025-11-10 00:04:00,65150,65250,65100,65200,9
2025-11-10 00:05:00,65200,65250,65150,65230,7
2025-11-10 00:06:00,65230,65300,65200,65280,6
2025-11-10 00:07:00,65280,65350,65250,65320,5
2025-11-10 00:08:00,65320,65380,65290,65350,4
2025-11-10 00:09:00,65350,65400,65300,65390,6
